frame,x_cm,y_cm,theta,detected
1783,30.03011204481786,28.66316526610638,141.89208984375,0
1784,30.03011204481786,28.66316526610638,141.89208984375,0
1785,30.03011204481786,28.66316526610638,141.89208984375,0
1786,30.03011204481786,28.66316526610638,141.89208984375,0
1787,30.03011204481786,28.66316526610638,141.89208984375,0
1788,30.03011204481786,28.66316526610638,141.89208984375,0
1789,30.03011204481786,28.66316526610638,141.89208984375,0
1790,30.03011204481786,28.66316526610638,141.89208984375,0
1791,30.10700280112038,28.68879551820722,138.9400139440237,1
1792,30.115546218487328,28.65462184873943,135.87400481123302,1
1793,30.132633053221223,28.620448179271648,132.69928277872776,1
1794,30.21806722689069,28.646078431372484,129.16299001672252,1
1795,30.303501400560158,28.671708683473327,125.74446008070473,0
1796,30.31204481792711,28.671708683473327,125.26910305524467,0
1797,30.388935574229627,28.73151260504195,124.80654865312425,0
1798,30.4572829131652,28.79131652661058,124.41598510742188,0
1799,30.4572829131652,28.79131652661058,124.41598510742188,0
1800,30.4572829131652,28.79131652661058,124.41598510742188,0
1801,30.4572829131652,28.79131652661058,124.41598510742188,0
1802,30.4572829131652,28.79131652661058,124.41598510742188,0
1803,30.440196078431306,28.76568627450974,123.86217498910361,1
1804,30.371848739495732,28.705882352941114,124.39564390936998,1
1805,30.31204481792711,28.65462184873943,124.37222372868271,1
1806,30.25224089635848,28.603361344537753,125.84440418235027,1
1807,30.19243697478985,28.552100840336067,126.88779851489076,1
1808,30.149719887955115,28.526470588235224,128.1393105917849,1
1809,30.149719887955115,28.543557422969123,131.21826538683962,1
1810,30.21806722689069,28.586274509803854,130.011645926357,1
1811,30.25224089635848,28.57773109243691,131.44163978312818,1
1812,30.28641456582626,28.569187675069962,133.35285279668705,0
1813,30.320588235294053,28.560644257703018,135.61770517223005,0
1814,30.363305322128788,28.543557422969123,134.80831059137927,0
1815,30.329131652661,28.492296918767444,138.76368713378906,0
1816,29.978851540616184,28.671708683473327,137.14207631438225,1
1817,29.602941176470523,28.80840336134447,132.59098143543005,1
1818,29.252661064425705,29.004901960784252,129.93410835762776,1
1819,28.893837535013937,29.192857142857076,125.83513117558434,1
1820,28.552100840336074,29.38935574229685,122.62110562831649,1
1821,28.62044817927164,29.38935574229685,123.87233584847809,1
1822,28.637535014005532,29.47478991596632,125.2418818071933,1
1823,28.62899159663859,29.526050420168,124.70923277625297,1
1824,28.62044817927164,29.602941176470523,125.72130982496935,1
